#seq_name	length	coverage
contig_11	273625	8
contig_10	435525	8
contig_13	271636	9
contig_12	295254	9
contig_15	114539	9
contig_14	406138	10
contig_17	672878	9
contig_16	282869	9
contig_9	626516	8
contig_8	104563	10
contig_1	553762	9
contig_3	60261	6
contig_2	341653	9
contig_5	65217	8
contig_4	74128	10
contig_7	184743	9
contig_6	399388	11
