[fixstart]	id	break_point	gene_name	gene_reversed	new_name	skipped
[fixstart]	contig_10:1.0-434256.0_np1212	217256	prodigal	no	-	-
[fixstart]	contig_11:1.0-272891.0_np1212	135849	prodigal	no	-	-
[fixstart]	contig_12:1.0-294562.0_np1212	145422	prodigal	no	-	-
[fixstart]	contig_13:1.0-270859.0_np1212	134326	prodigal	no	-	-
[fixstart]	contig_14:1.0-405078.0_np1212	203854	prodigal	yes	-	-
[fixstart]	contig_15:1.0-114172.0_np1212	57300	prodigal	no	-	-
[fixstart]	contig_16:1.0-282065.0_np1212	140024	prodigal	no	-	-
[fixstart]	contig_17:1.0-671158.0_np1212	335367	prodigal	no	-	-
[fixstart]	contig_1:1.0-551996.0_np1212	276455	prodigal	yes	-	-
[fixstart]	contig_2:1.0-340696.0_np1212	169657	prodigal	no	-	-
[fixstart]	contig_3:1.0-59950.0_np1212	31802	prodigal	yes	-	-
[fixstart]	contig_4:1.0-73941.0_np1212	36491	prodigal	no	-	-
[fixstart]	contig_5:1.0-65050.0_np1212	32259	prodigal	no	-	-
[fixstart]	contig_6:1.0-398409.0_np1212	199420	prodigal	yes	-	-
[fixstart]	contig_7:1.0-184235.0_np1212	90617	sp|P03004|DNAA_ECOLI	no	-	-
[fixstart]	contig_8:1.0-104289.0_np1212	52212	prodigal	yes	-	-
[fixstart]	contig_9:1.0-624622.0_np1212	313165	prodigal	yes	-	-
